project,bug_id,n_test_suites,max_test_cases,n_modified_classes
Gson,14,1,7,1
Gson,15,1,1,1
Gson,16,1,2,1
Gson,17,1,2,1
Gson,18,1,1,1
JacksonCore,1,1,1,2
JacksonCore,2,1,2,2
JacksonCore,3,1,1,1
JacksonCore,4,1,1,1
JacksonCore,5,1,1,1
JacksonCore,6,1,1,1
JacksonCore,7,1,2,1
JacksonCore,8,1,1,1
JacksonCore,9,1,2,3
JacksonCore,10,2,3,1
JacksonCore,11,1,1,1
JacksonCore,12,1,1,2
JacksonCore,13,1,1,1
JacksonCore,14,1,1,1
JacksonCore,15,1,1,1
JacksonCore,16,1,1,1
JacksonCore,17,1,1,1
JacksonCore,18,1,1,3
JacksonCore,19,1,1,2
JacksonCore,20,2,1,1
JacksonCore,21,1,3,1
JacksonCore,22,1,12,1
JacksonCore,23,1,1,1
JacksonCore,24,4,3,2
JacksonCore,25,1,1,1
JacksonCore,26,1,1,1
JacksonDatabind,1,1,1,1
JacksonDatabind,2,1,1,1
JacksonDatabind,3,1,1,1
JacksonDatabind,4,1,1,1
JacksonDatabind,5,1,1,1
JacksonDatabind,6,1,2,1
JacksonDatabind,7,1,1,1
JacksonDatabind,8,1,1,1
JacksonDatabind,9,1,1,1
JacksonDatabind,10,1,1,2
JacksonDatabind,11,2,1,1
JacksonDatabind,12,1,1,1
JacksonDatabind,13,1,1,2
JacksonDatabind,14,1,1,1
JacksonDatabind,15,1,1,5
JacksonDatabind,16,1,1,1
JacksonDatabind,17,1,1,1
JacksonDatabind,18,1,3,1
JacksonDatabind,19,3,1,1
JacksonDatabind,20,1,1,1
JacksonDatabind,21,1,1,1
JacksonDatabind,22,1,1,2
JacksonDatabind,23,1,1,1
JacksonDatabind,24,1,1,1
JacksonDatabind,25,1,1,4
JacksonDatabind,26,1,1,1
JacksonDatabind,27,1,1,1
JacksonDatabind,28,1,1,1
JacksonDatabind,29,1,1,1
JacksonDatabind,30,1,1,2
JacksonDatabind,31,1,1,1
JacksonDatabind,32,1,1,1
JacksonDatabind,33,1,1,1
JacksonDatabind,34,1,1,1
JacksonDatabind,35,1,1,1
JacksonDatabind,36,1,1,1
JacksonDatabind,37,1,1,1
JacksonDatabind,38,1,3,3
JacksonDatabind,39,1,1,1
JacksonDatabind,40,1,1,1
JacksonDatabind,41,1,1,1
JacksonDatabind,42,1,1,1
JacksonDatabind,43,1,1,1
JacksonDatabind,44,1,1,1
JacksonDatabind,45,1,1,1
JacksonDatabind,46,1,1,1
JacksonDatabind,47,2,1,1
JacksonDatabind,48,1,1,2
JacksonDatabind,49,1,1,1
JacksonDatabind,50,1,1,1
JacksonDatabind,51,1,1,1
JacksonDatabind,52,1,1,2
JacksonDatabind,53,1,1,2
JacksonDatabind,54,1,1,1
JacksonDatabind,55,1,1,1
JacksonDatabind,56,1,1,1
JacksonDatabind,57,1,1,1
JacksonDatabind,58,1,1,1
JacksonDatabind,59,1,1,4
JacksonDatabind,60,2,1,1
JacksonDatabind,61,1,1,2
JacksonDatabind,62,1,1,1
JacksonDatabind,63,3,1,1
JacksonDatabind,64,1,1,1
JacksonDatabind,65,1,1,2
JacksonDatabind,66,1,1,1
JacksonDatabind,67,1,1,1
JacksonDatabind,68,1,2,1
JacksonDatabind,69,1,1,1
JacksonDatabind,70,1,1,1
JacksonDatabind,71,1,1,1
JacksonDatabind,72,1,1,1
JacksonDatabind,73,1,2,2
JacksonDatabind,74,1,1,1
JacksonDatabind,75,1,1,1
JacksonDatabind,76,1,4,1
JacksonDatabind,77,1,1,1
JacksonDatabind,78,1,1,1
JacksonDatabind,79,1,1,3
JacksonDatabind,80,1,1,1
JacksonDatabind,81,1,1,1
JacksonDatabind,82,1,1,1
JacksonDatabind,83,1,1,1
JacksonDatabind,84,1,1,1
JacksonDatabind,85,1,1,1
JacksonDatabind,86,2,1,1
JacksonDatabind,87,1,1,1
JacksonDatabind,88,1,1,1
JacksonDatabind,89,1,1,1
JacksonDatabind,90,1,1,2
JacksonDatabind,91,1,1,1
JacksonDatabind,92,1,1,1
JacksonDatabind,93,1,1,1
JacksonDatabind,94,1,1,1
JacksonDatabind,95,1,1,2
JacksonDatabind,96,1,1,1
JacksonDatabind,97,1,1,1
JacksonDatabind,98,1,1,1
JacksonDatabind,99,1,1,1
JacksonDatabind,100,1,1,1
JacksonDatabind,101,1,1,1
JacksonDatabind,102,1,1,1
JacksonDatabind,103,1,1,16
JacksonDatabind,104,1,2,1
JacksonDatabind,105,1,1,1
JacksonDatabind,106,1,2,1
JacksonDatabind,107,1,1,1
JacksonDatabind,108,1,1,1
JacksonDatabind,109,1,1,2
JacksonDatabind,110,1,1,1
JacksonDatabind,111,1,1,7
JacksonDatabind,112,1,1,1
JacksonXml,1,2,2,1
JacksonXml,2,1,1,1
JacksonXml,3,1,1,1
JacksonXml,4,1,1,1
JacksonXml,5,1,1,1
JacksonXml,6,1,5,1
Jsoup,1,1,1,1
Jsoup,2,1,1,1
Jsoup,3,2,2,3
Jsoup,4,1,2,1
Jsoup,5,1,1,1
Jsoup,6,2,1,1
Jsoup,7,1,1,1
Jsoup,8,1,1,1
Jsoup,9,1,1,1
Jsoup,10,1,1,1
Jsoup,11,1,4,1
Jsoup,12,1,1,1
Jsoup,13,2,2,1
Jsoup,14,1,2,2
Jsoup,15,1,1,1
Jsoup,16,1,2,1
Jsoup,17,1,1,1
Jsoup,18,2,2,1
Jsoup,19,1,1,1
Jsoup,20,1,1,1
Jsoup,21,1,2,2
Jsoup,22,2,2,3
Jsoup,23,1,1,2
Jsoup,24,1,1,1
Jsoup,25,1,1,1
Jsoup,26,1,1,1
Jsoup,27,1,2,1
Jsoup,28,3,2,3
Jsoup,29,1,1,1
Jsoup,30,1,1,1
Jsoup,31,1,1,3
Jsoup,32,1,1,1
Jsoup,33,1,1,1
Jsoup,34,2,1,1
Jsoup,35,1,1,1
Jsoup,36,2,5,1
Jsoup,37,1,1,1
Jsoup,38,1,1,1
Jsoup,39,1,1,1
Jsoup,40,2,1,1
Jsoup,41,1,1,1
Jsoup,42,1,2,1
Jsoup,43,1,2,1
Jsoup,44,1,1,1
Jsoup,45,1,1,1
Jsoup,46,1,1,1
Jsoup,47,1,1,1
Jsoup,48,1,1,1
Jsoup,49,1,1,1
Jsoup,50,1,1,1
Jsoup,51,1,1,1
Jsoup,52,2,4,3
Jsoup,53,1,1,1
Jsoup,54,1,1,1
Jsoup,55,1,1,1
Jsoup,56,1,1,5
Jsoup,57,1,1,1
Jsoup,58,1,2,3
Jsoup,59,2,1,1
Jsoup,60,1,2,2
Jsoup,61,2,1,1
Jsoup,62,1,1,1
Jsoup,63,1,3,2
Jsoup,64,1,2,1
Jsoup,65,1,1,2
Jsoup,66,1,1,1
Jsoup,67,1,1,1
Jsoup,68,1,1,1
Jsoup,69,1,1,1
Jsoup,70,1,1,1
Jsoup,71,1,2,3
Jsoup,72,2,1,1
Jsoup,73,1,1,1
Jsoup,74,1,1,1
Jsoup,75,1,1,1
Jsoup,76,1,1,1
Jsoup,77,1,1,1
Jsoup,78,1,1,1
Jsoup,79,1,1,1
Jsoup,80,1,1,1
Jsoup,81,1,1,1
Jsoup,82,1,1,1
Jsoup,83,2,1,2
Jsoup,84,1,1,1
Jsoup,85,1,1,1
Jsoup,86,1,1,1
Jsoup,87,1,1,4
Jsoup,88,1,1,1
Jsoup,89,1,1,1
Jsoup,90,1,1,1
Jsoup,91,2,2,2
Jsoup,92,2,2,5
Jsoup,93,1,1,1
JxPath,1,2,1,2
JxPath,2,1,1,1
JxPath,3,1,1,1
JxPath,4,1,6,2
JxPath,5,1,1,1
JxPath,6,1,1,1
JxPath,7,1,1,5
JxPath,8,1,1,1
JxPath,9,1,1,3
JxPath,10,1,1,1
JxPath,11,2,1,2
JxPath,12,1,1,1
JxPath,13,1,1,2
JxPath,14,1,1,1
JxPath,15,2,1,1
JxPath,16,2,2,2
JxPath,17,2,1,2
JxPath,18,2,1,1
JxPath,19,1,2,2
JxPath,20,1,1,1
JxPath,21,2,1,1
JxPath,22,1,1,1
